especie,latitude,longitude,ano,month,institutionCode,basisOfRecord
Megaptera novaeangliae,-13.30922,-38.69262,2019,9,Happywhale.com,HumanObservation
Megaptera novaeangliae,-22.987958,-42.0286,2025,7,Happywhale.com,HumanObservation
Megaptera novaeangliae,-16.45,-39,2024,9,Happywhale.com,HumanObservation
Megaptera novaeangliae,-12.60823,-37.83195,2019,8,Happywhale.com,HumanObservation
Megaptera novaeangliae,-20.433059,-40.103712,2024,8,Happywhale.com,HumanObservation
Megaptera novaeangliae,-17.92795,-38.99465,2022,8,Happywhale.com,HumanObservation
Megaptera novaeangliae,-12.61122,-37.88114,2010,10,Happywhale.com,HumanObservation
Megaptera novaeangliae,-25.048333,-43.483333,2011,NA,PGS,HumanObservation
Megaptera novaeangliae,-13.47509,-38.78743,2015,8,Happywhale.com,HumanObservation
Megaptera novaeangliae,-20.33006,-40.119324,2022,7,Happywhale.com,HumanObservation
Megaptera novaeangliae,-17.90853,-38.80706,2019,8,Happywhale.com,HumanObservation
Megaptera novaeangliae,-12.66483,-37.91261,2017,8,Happywhale.com,HumanObservation
Megaptera novaeangliae,-23.491111,-41.663889,2014,NA,PGS,HumanObservation
Megaptera novaeangliae,-17.4849,-39.1876,2004,NA,UFPE,HumanObservation
Megaptera novaeangliae,-16.45,-39,2023,8,Happywhale.com,HumanObservation
Megaptera novaeangliae,-12.57,-37.96,2014,9,Happywhale.com,HumanObservation
Megaptera novaeangliae,-12.57,-37.96,2014,9,Happywhale.com,HumanObservation
Megaptera novaeangliae,-19.95221,-39.98866,2019,8,Happywhale.com,HumanObservation
Megaptera novaeangliae,-13.40995,-38.87938,2015,9,Happywhale.com,HumanObservation
Megaptera novaeangliae,-23.017105,-42.006912,2024,6,Happywhale.com,HumanObservation
Megaptera novaeangliae,-23.893383,-45.4644,2021,6,Happywhale.com,HumanObservation
Megaptera novaeangliae,-17.8559,-38.99976,2022,8,Happywhale.com,HumanObservation
Megaptera novaeangliae,-17.85062,-39.04925,2022,8,Happywhale.com,HumanObservation
Megaptera novaeangliae,-22.997113,-42.024143,2023,7,Happywhale.com,HumanObservation
Megaptera novaeangliae,-18.0294,-38.89181,2019,8,Happywhale.com,HumanObservation
Megaptera novaeangliae,-16.45,-38.9,2016,9,Happywhale.com,HumanObservation
Megaptera novaeangliae,-23.597778,-41.741111,2014,NA,PGS,HumanObservation
Megaptera novaeangliae,-23.092542,-43.125637,2024,6,Happywhale.com,HumanObservation
Megaptera novaeangliae,-23.004543,-42.014251,2023,7,Happywhale.com,HumanObservation
Megaptera novaeangliae,-23.06308,-41.99524,2024,7,Happywhale.com,HumanObservation
Megaptera novaeangliae,-23.86,-45.26,2025,7,Happywhale.com,HumanObservation
Megaptera novaeangliae,-17.857654,-39.007655,2025,8,Happywhale.com,HumanObservation
Megaptera novaeangliae,-18.02729,-38.82813,2022,8,Happywhale.com,HumanObservation
Megaptera novaeangliae,-23.436389,-41.610833,2014,NA,PGS,HumanObservation
Megaptera novaeangliae,-20.482502,-40.020447,2022,10,Happywhale.com,HumanObservation
Megaptera novaeangliae,-25.73389,-45.19653,2024,7,Happywhale.com,HumanObservation
Megaptera novaeangliae,-12.648347,-37.986697,2017,8,Happywhale.com,HumanObservation
Megaptera novaeangliae,-17.94,-38.88,2020,8,Happywhale.com,HumanObservation
Megaptera novaeangliae,-19.7742,-40.0198,2002,NA,UFPE,HumanObservation
Megaptera novaeangliae,-20.4102,-40.125017,2017,8,Happywhale.com,HumanObservation
Megaptera novaeangliae,-23.962808,-45.484148,2024,7,Happywhale.com,HumanObservation
